id_cliente,nome,data_nascimento,cpf,estado,data_cadastro
f6f70794-ff57-45f2-9802-9ba9fb625e9f,Mathias Moura,1949-06-09,394.722.366-82,TO,2025-07-16
27e2735c-8825-453e-b780-e52d1f1fa7c2,Léo Pinto,1944-10-20,094.245.112-63,RR,2025-10-29
098e9f1d-d0cd-48d1-b9a8-f47f811fb8df,João Albuquerque,1977-02-18,040.637.035-27,ES,2025-01-19
8a5b323d-89da-48cb-b25c-f2f63a170871,Augusto Jesus,1973-04-01,709.981.251-94,ES,2025-04-10
e839806c-ff0d-42e5-a69b-a809dffc55f7,Aurora Garcia,1985-03-25,279.931.671-71,RS,2025-01-04
598ebacb-fb49-4332-aca3-9e37da6d8cde,Ana Clara Cavalcanti,1997-09-11,973.615.223-38,PI,2025-03-30
329a2ac9-eb27-4ff3-8c21-5e1bcd23ca12,Ana Liz da Paz,1953-05-07,195.258.073-96,RR,2024-12-25
284b637e-ff6a-483f-afef-8b940b6cbf35,Maria Sophia da Costa,1992-03-13,429.146.604-14,RO,2025-05-07
fdf3435b-5e8a-4b99-b3b1-ebe0624deb2c,Thales Borges,1936-02-11,847.299.713-33,SC,2026-01-11
d8b02c06-1565-4ca5-831d-b9a4fb259605,Sr. Miguel Moreira,1941-07-20,108.110.788-63,RS,2024-11-17
2051fafe-746e-4b44-847b-22f043a88e3f,Pedro Miguel Campos,1959-05-17,477.140.954-16,MS,2026-01-09
c5928051-e5a5-4617-bbd5-ba7cad7005d7,Srta. Lunna Souza,2007-09-23,467.783.475-49,PR,2025-12-21
d36f72a5-6511-49b5-bc9f-38b785a2804e,Apollo Novaes,1984-03-26,856.813.697-05,SE,2025-04-17
9ec89e93-cfc5-44d2-83c1-b7d93c1426be,Dr. Luiz Gustavo Pires,1985-10-17,311.616.226-08,PI,2025-07-27
f370ff5b-4f7b-4a20-aeb1-09404c5e0538,Maria Sophia Souza,1945-09-08,963.019.526-20,MT,2025-10-23
5a49258a-58d6-4bab-a0ee-9d1479f7c145,Srta. Jade Fernandes,1965-02-28,810.748.348-84,RJ,2025-07-07
f20117f0-b68a-4801-a9bd-8f3464460512,Igor Fonseca,1980-01-15,528.756.318-92,RO,2026-05-02
6811fc6c-af8b-4cd8-a26f-b63005e0d4ce,Theo Lima,1943-12-18,384.112.435-08,AL,2024-09-27
59cf6ee6-202b-41f4-8ca9-232b68b3e9d5,Emanuella Carvalho,1984-08-27,625.584.485-89,PB,2026-04-26
33c0f550-09d4-42a4-bcd7-d7c862fb1844,Maria Cecília Carvalho,1940-07-15,047.094.023-72,GO,2026-01-31
6569579c-63e7-4855-99e3-2987565291c5,Rhavi Souza,1960-03-04,888.893.448-54,RO,2025-03-22
b1579d89-1cd4-4975-a496-496bca8265ca,Kaique Cunha,1985-01-27,222.723.267-63,PI,2024-10-26
8bc055b3-cc08-4dda-a822-1e58a866c05e,Dra. Caroline Nogueira,1964-09-18,016.568.529-83,SE,2025-12-17
3133548f-8a73-4fa6-8cd4-2bf171113c75,Alexia Martins,1977-06-05,987.853.623-55,AC,2024-10-23
04b0da45-1213-4a78-8034-dd7b9c1cac0e,Levi Almeida,1937-08-27,512.826.911-86,PI,2025-03-09
60ae3924-58bc-4719-988c-8d50eabd4b2b,Amanda Campos,1970-12-19,863.748.359-44,MA,2025-05-06
3f8e4458-bea9-4d9f-8062-05033a8667a7,Sabrina Pereira,1977-07-06,303.341.039-30,MA,2024-12-14
8435827d-da46-4f45-999e-d05f34715a4c,Mariana Farias,1989-06-08,906.380.514-48,PR,2024-12-18
1d9f5660-9265-4b6b-aeb7-5cdbd57db60c,Milena Novais,1978-04-24,080.210.171-46,AL,2024-09-11
852f25aa-b8d1-43ad-8ad2-0ce38fd55876,Luigi Leão,1980-08-07,638.422.924-63,CE,2025-12-25
b9ee1242-855f-4452-9cfc-36cb844bc356,Ryan Gonçalves,1950-08-19,151.691.000-03,MS,2024-12-17
fe149990-9e3a-4ba1-9a0f-72a032128706,Mariane Nogueira,1938-12-31,432.002.693-72,PI,2026-05-01
6634ceb4-3597-4426-bc12-008d365f2241,Srta. Letícia Novaes,1946-08-14,518.015.412-64,ES,2025-04-11
335d5374-0114-4cac-a5f1-eaf61adf415a,Isaque Teixeira,1995-10-19,787.616.388-58,DF,2026-07-13
